CustomerID,Age,Gender,Account_Length,Contract_Type,Churn,Call_Duration,Data_Usage,Income
1,56,1,13,2,1,0.891801261795957,0.8855776650155089,-0.7634476986194682
2,69,1,22,2,0,1.1788084262789058,-1.1726103035653344,-1.5129730782061783
3,46,0,19,1,1,1.6863210951816814,-0.2703909200778415,-1.1101870454097398
4,32,1,34,0,0,-0.3297292309424474,-0.39726552088077016,0.09679761863823674
5,60,1,14,0,0,0.4577904276997904,-0.8624723904915087,-1.45217219640307
6,25,0,4,2,0,0.37728841814969494,0.27939901673484957,0.38181165666488376
7,78,1,48,2,0,0.6187944467999812,0.9490149654169733,0.1965036693796502
8,38,1,46,2,0,0.3947888550084114,-0.37611975408028203,0.45793161381369263
9,56,1,27,2,0,0.44379007821281724,0.5331482183407069,-0.6422685301952019
10,75,1,29,1,0,-0.48723316267089495,-1.264241959700783,0.7614870154484118
11,36,1,47,0,1,0.36678815603446513,-0.29858527581182565,0.8901144239545531
12,40,0,28,2,0,1.2593104358290013,-1.82108048544697,-1.567989688456341
13,28,1,35,1,0,0.7692982037849422,-0.5805288331516671,-0.7934519565379438
14,28,1,8,2,0,-1.6842630438070965,0.9560635543504693,-0.3134102420412049
15,41,1,16,2,0,-0.7847405892690736,0.7798488310130683,-0.3838251642336839
16,70,1,42,0,0,0.653795320517414,0.6036341076756674,-1.0721534790342073
17,53,1,36,2,0,-1.3377543940045118,0.13137864913143274,-1.2328452969708323
18,57,0,30,0,1,1.2698106979442312,-0.8060836790235404,-0.761678081295051
19,41,1,18,0,0,1.6863210951816814,0.40627361753777824,-1.274470922392943
20,20,0,2,0,0,0.6817960194913603,-0.2562937422108494,1.3772874321467043
21,39,0,49,1,1,-1.4252565782980937,0.7657516531460762,0.0012382831197112183
22,70,1,13,1,0,-1.4567573646437832,0.8714804871485168,0.5601732356468082
23,19,1,4,0,0,-0.6097362206819097,-1.3981651494372076,0.6209477052510446
24,41,1,26,2,0,1.619819435118559,0.2371074831338733,0.2326091452375342
25,61,1,25,0,0,-1.3447545687479983,-0.15056490820840882,-0.36258975634067825
26,47,0,30,2,0,0.9478026597438495,-0.4607028212822345,1.471763867511482
27,55,1,11,0,0,-1.540759461565622,-0.6651119003536197,-0.8100124052306236
28,19,1,7,2,0,-1.2047510738782672,1.3437359456927513,0.8013430235461052
29,77,1,31,1,0,1.3258120958921236,-0.2703909200778415,-0.23694692630706135
30,38,1,44,2,1,-0.3297292309424474,-1.4052137383707037,0.33918236768564103
31,50,1,10,0,0,0.4542903403280471,-0.925909690892973,0.42119224518288306
32,29,1,39,1,0,1.2488101737137713,1.5340478468971446,1.6831142828844066
33,75,0,13,2,1,-0.8127412882430199,-0.6157717778191474,0.7738479245204598
34,39,0,31,2,0,-0.6412370070275992,1.5481450247641366,-1.6671410830214446
35,78,1,7,2,0,0.7587979416697124,-0.73559778968858,0.8224199582458795
36,61,1,49,2,1,-1.6002609468852578,1.0195008547519335,-1.2001998191651668
37,42,1,42,2,0,-1.3762553550936878,0.8291889535475406,-1.1249778767780025
38,66,0,42,1,0,1.4098141928139623,-1.0598328806293977,0.31916192094074264
39,44,1,36,1,1,1.3713132317247863,0.06089275979647235,-0.6630813429062572
40,76,0,20,1,0,-1.0682476663802793,1.06179238835291,-0.24450081518442407
41,59,1,4,1,0,-0.34022949305767725,0.6741199970106277,0.7386932878219641
42,45,1,7,0,0,-0.7707402397821006,0.9208206096829891,-1.570551671746915
43,77,1,1,1,0,-0.5047335995296114,0.1243300601979367,-0.5693444491098927
44,33,1,44,2,0,0.8778009123089838,-1.3135820822352553,-0.30329436987326813
45,32,0,45,2,1,1.5358173381967204,1.597485147298609,-1.3413730221354596
46,79,0,42,1,0,0.8217995143610914,1.2450557006238068,1.3075328149260228
47,79,1,47,2,1,0.28628614648436973,1.4283190128947039,-1.5461467999892815
48,64,1,13,1,0,0.7377974174392528,-0.37611975408028203,-1.0236870941042753
49,79,0,22,2,1,-0.8477421619604527,0.899674842882501,1.2604134521385575
50,68,0,21,0,0,0.5347923498781425,1.5481450247641366,0.7427079420504925
51,61,0,22,0,0,1.1403074651897298,0.13137864913143274,1.5125971269674356
52,72,0,28,1,0,1.5708182119141532,0.8080431867470524,0.3478455689156234
53,69,1,9,1,0,0.5697932235955753,0.46266232900574655,0.2312621230950674
54,74,0,26,1,0,-1.3972558793241476,1.4917563132961682,0.38725256963249466
55,20,1,9,2,1,0.3142868454583159,0.5613425740746911,1.1598622110332433
56,54,0,15,1,1,-0.7567398902951274,0.6811685859441238,0.2095777078212395
57,68,0,10,0,0,1.3468126201225832,0.5613425740746911,1.5190945278899226
58,24,0,24,2,0,-0.33322931831419067,-0.39726552088077016,-0.3621143367609841
59,38,0,42,1,0,-1.3622550056067146,-0.7003548450210998,-0.0005841586024497162
60,26,0,8,2,0,0.7062966310935632,-1.6378171731760731,1.564602746546202
61,56,1,24,2,0,-1.0472471421498195,0.9278691986164851,0.9652835419439736
62,35,1,16,1,1,-0.6832380554885186,-0.023690307405480115,-0.9686176594563687
63,21,0,49,2,1,-0.5992359585666799,-0.6721604892871157,0.2490375329358545
64,42,0,26,0,0,-1.2047510738782672,-1.3911165605037117,-1.0119864900040245
65,77,1,27,0,0,0.1882837000755579,-1.6801087067770493,0.7765683810042653
66,31,0,37,2,0,0.5137918256476829,-1.3417764379692394,-0.46380130241778983
67,67,0,4,1,0,-0.32622914357070415,0.8503347203480287,-1.3782972761583723
68,75,1,24,2,0,-0.1267241633813372,1.0195008547519335,0.08565167071429595
69,26,0,19,0,0,-1.2817529960566194,-1.1585131256983423,0.7928647077082261
70,43,0,36,2,1,1.0248045819222016,-0.6862576671541077,-0.6901274345510804
71,70,1,39,2,0,1.3153118337768936,-1.278339137567775,1.0883379764881445
72,19,1,10,0,0,-1.4497571899002968,-1.7999347186464818,-1.3135345645244794
73,37,1,25,2,1,-0.3472296678011638,0.3921764396707862,-0.5551610983156836
74,45,0,18,2,1,0.8953013491677002,-0.9893469912944375,-0.9633616318808611
75,64,1,19,1,0,0.4542903403280471,0.2934961946018416,-0.3940466851971083
76,77,1,36,1,0,-1.3622550056067146,-0.5805288331516671,-0.11059096690390323
77,24,1,10,0,0,-0.9702452199714675,-0.5946260110186593,1.6161593587441463
78,61,1,33,0,1,1.4203144549291922,0.913772020749493,0.20783450269569426
79,78,1,5,0,0,0.19178378744730118,-0.30563386474532167,-0.10343326100961897
80,25,1,47,1,0,-0.45573237632520547,-1.440456683038184,-1.4029926821035965
81,64,0,49,0,0,-1.22925168548047,0.7446058863455881,-0.8732960337276903
82,52,0,35,0,1,-1.351754743491485,-0.5170915327502028,0.5104918895687689
83,31,1,44,0,0,0.4087892044953845,-0.19990503074288107,0.464534663531667
84,34,1,34,1,0,0.20928422430601756,-0.03778748527247219,-0.19801534516988428
85,53,1,33,2,0,1.4903162023640577,1.075889566219902,-1.46553676903225
86,67,0,21,0,0,-0.014721367485552292,1.3719303014267357,0.9656797249270521
87,57,0,17,2,0,0.023779593603623778,-1.102124414230374,1.0372039594721507
88,21,0,22,0,1,-0.0812230275486746,-1.2924363154347671,-0.4234170503426584
89,19,0,48,2,1,1.182308513650649,-0.21400220860987315,-1.0968752971783033
90,79,0,37,1,0,1.3713132317247863,0.9983550879514456,-1.6553348301257063
91,23,0,15,1,0,-0.7952408513843036,-0.016641718471984077,1.400371693960743
92,71,0,35,0,0,1.7388224057578305,0.025649815128992157,-1.4111276393561412
93,59,0,28,2,0,-0.27022774562281165,0.49790527367322673,-1.4602543292578707
94,21,0,7,1,0,1.395813843326989,1.5551936136976325,-0.8813781665824909
95,71,1,32,0,1,0.7307972426957662,-0.552334477417683,0.5170685270878713
96,46,1,11,0,0,-0.45923246369694876,0.8503347203480287,-1.691783664568925
97,35,1,10,1,0,-0.763740065038614,-0.030738896338976154,1.1593075548569334
98,43,1,9,1,0,-0.7532398029233842,-1.5673312838411126,-0.8496835279362138
99,61,0,14,0,1,-1.603761034257001,-0.5946260110186593,-1.086917898203598
100,51,0,13,2,0,1.6128192603750724,-1.644865762109569,-0.8898300702214982
101,27,1,25,2,1,-1.0822480158672525,0.11023288233094462,-0.8267577393154066
102,79,0,2,2,1,-1.1697502001608344,-0.8483752126245167,-0.2769085832002424
103,53,1,35,0,0,1.7353223183860873,0.2723504278013535,-0.8766239707855493
104,31,0,7,1,0,1.717821881527371,1.3014444120917752,1.2273717913498134
105,48,1,21,0,0,0.13228230212766542,0.18776736059940105,1.3991303206137635
106,65,0,18,1,0,0.13228230212766542,-1.1937560703658225,-0.6735933980572725
107,32,0,3,2,0,-1.729764179639759,1.5481450247641366,-0.21996388243243117
108,25,1,42,2,0,1.1788084262789058,-1.4052137383707037,0.6527215804939375
109,31,0,39,1,0,-0.7287391913211813,1.3930760682272236,1.6869176395219598
110,40,1,41,1,0,1.5918187361446128,1.3437359456927513,0.6336255607095554
